Elo	Username	W	L	T	Glicko	Rating_Deviation	GXE	Games_Played	Last_update	H2H_Data
1757.2490790356203	PAC-MM-SynRLV2-3	4520	912	18	1822.2	30	77.53	5450	Thu Aug 14 2025 18:11:25 GMT+0000 (Coordinated Universal Time)	{"pacmmabrag3":{"w":337,"l":148,"t":2},"pacmmsilfa3":{"w":392,"l":73,"t":2},"pacmmsynrlv13":{"w":418,"l":92,"t":2},"pacbhpokeenv3":{"w":264,"l":16,"t":1},"pacbhkaizo3":{"w":215,"l":19,"t":0},"pacbhgymleader3":{"w":255,"l":19,"t":2},"pacbhg1boss3":{"w":261,"l":10,"t":0},"pacmmsmallrlg93":{"w":375,"l":95,"t":1},"pacmmsmallil3":{"w":414,"l":58,"t":2},"pacmmbasernn3":{"w":189,"l":20,"t":2},"pacbhsswitch3":{"w":243,"l":21,"t":2},"pacmmlargerlg3":{"w":368,"l":86,"t":1},"pacmmsynrlv03":{"w":341,"l":124,"t":1},"pacmmsynrlv1sp3":{"w":387,"l":114,"t":0}}
1617.169265687695	PAC-MM-SynRLV0-3	3463	1960	14	1664.5	30	65.3	5437	Thu Aug 14 2025 18:11:07 GMT+0000 (Coordinated Universal Time)	{"pacmmlargerlg3":{"w":342,"l":214,"t":0},"pacbhg1boss3":{"w":229,"l":18,"t":0},"pacmmsilfa3":{"w":292,"l":156,"t":2},"pacmmsynrlv1sp3":{"w":255,"l":231,"t":2},"pacmmsynrlv13":{"w":266,"l":212,"t":2},"pacbhkaizo3":{"w":222,"l":43,"t":1},"pacbhgymleader3":{"w":244,"l":26,"t":1},"pacmmabrag3":{"w":241,"l":241,"t":1},"pacmmsynrlv23":{"w":124,"l":341,"t":1},"pacmmbasernn3":{"w":133,"l":53,"t":0},"pacbhsswitch3":{"w":248,"l":41,"t":2},"pacmmsmallil3":{"w":342,"l":123,"t":0},"pacmmsmallrlg93":{"w":264,"l":196,"t":1},"pacbhpokeenv3":{"w":217,"l":35,"t":0}}
1556.490066550965	PAC-MM-SynRLV1-SP3	3366	2061	11	1637.9	30	62.95	5438	Thu Aug 14 2025 18:11:47 GMT+0000 (Coordinated Universal Time)	{"pacmmsynrlv13":{"w":265,"l":231,"t":0},"pacbhpokeenv3":{"w":233,"l":45,"t":2},"pacmmabrag3":{"w":233,"l":244,"t":1},"pacmmlargerlg3":{"w":324,"l":191,"t":0},"pacmmsynrlv03":{"w":231,"l":255,"t":2},"pacbhsswitch3":{"w":228,"l":46,"t":2},"pacmmsmallil3":{"w":339,"l":100,"t":0},"pacbhkaizo3":{"w":223,"l":50,"t":0},"pacmmsmallrlg93":{"w":277,"l":207,"t":1},"pacbhgymleader3":{"w":230,"l":32,"t":1},"pacmmsilfa3":{"w":262,"l":160,"t":0},"pacbhg1boss3":{"w":221,"l":14,"t":1},"pacmmbasernn3":{"w":151,"l":62,"t":1},"pacmmsynrlv23":{"w":114,"l":387,"t":0}}
1549.1242483541223	PAC-MM-Abra-g3	3462	1955	17	1626.3	30	61.9	5434	Thu Aug 14 2025 18:10:47 GMT+0000 (Coordinated Universal Time)	{"pacmmsynrlv23":{"w":148,"l":337,"t":2},"pacbhsswitch3":{"w":219,"l":28,"t":0},"pacmmsynrlv1sp3":{"w":244,"l":233,"t":1},"pacmmsynrlv13":{"w":218,"l":208,"t":0},"pacmmsmallil3":{"w":390,"l":139,"t":3},"pacbhgymleader3":{"w":235,"l":26,"t":1},"pacmmsmallrlg93":{"w":265,"l":226,"t":4},"pacmmbasernn3":{"w":139,"l":61,"t":0},"pacbhpokeenv3":{"w":242,"l":32,"t":1},"pacmmsilfa3":{"w":330,"l":177,"t":1},"pacbhg1boss3":{"w":235,"l":11,"t":1},"pacmmsynrlv03":{"w":241,"l":241,"t":1},"pacbhkaizo3":{"w":220,"l":33,"t":0},"pacmmlargerlg3":{"w":279,"l":181,"t":1}}
1525.2946649082946	PAC-MM-SmallRLG9-3	3104	2327	18	1593.8	30	58.92	5449	Thu Aug 14 2025 18:11:27 GMT+0000 (Coordinated Universal Time)	{"pacmmsmallil3":{"w":346,"l":157,"t":0},"pacbhsswitch3":{"w":224,"l":37,"t":4},"pacbhkaizo3":{"w":192,"l":52,"t":0},"pacmmlargerlg3":{"w":257,"l":215,"t":0},"pacmmsynrlv23":{"w":95,"l":375,"t":1},"pacmmsilfa3":{"w":321,"l":218,"t":1},"pacbhgymleader3":{"w":210,"l":46,"t":1},"pacmmsynrlv1sp3":{"w":207,"l":277,"t":1},"pacmmabrag3":{"w":226,"l":265,"t":4},"pacmmsynrlv13":{"w":220,"l":233,"t":1},"pacmmbasernn3":{"w":106,"l":80,"t":0},"pacbhpokeenv3":{"w":220,"l":43,"t":2},"pacmmsynrlv03":{"w":196,"l":264,"t":1},"pacbhg1boss3":{"w":244,"l":27,"t":0}}
1503.000929894279	PAC-MM-SynRLV1-3	3176	2233	22	1579.6	30	57.59	5431	Thu Aug 14 2025 18:11:30 GMT+0000 (Coordinated Universal Time)	{"pacmmsynrlv1sp3":{"w":231,"l":265,"t":0},"pacbhg1boss3":{"w":234,"l":11,"t":1},"pacbhgymleader3":{"w":243,"l":44,"t":2},"pacmmsynrlv23":{"w":92,"l":418,"t":2},"pacmmabrag3":{"w":208,"l":218,"t":0},"pacbhsswitch3":{"w":210,"l":45,"t":4},"pacmmbasernn3":{"w":140,"l":65,"t":1},"pacmmsynrlv03":{"w":212,"l":266,"t":2},"pacmmsmallrlg93":{"w":233,"l":220,"t":1},"pacmmlargerlg3":{"w":267,"l":227,"t":2},"pacbhkaizo3":{"w":210,"l":57,"t":0},"pacmmsmallil3":{"w":341,"l":127,"t":2},"pacbhpokeenv3":{"w":234,"l":46,"t":2},"pacmmsilfa3":{"w":272,"l":195,"t":1}}
1492.1339874999655	PAC-MM-LargeRL-g3	2884	2525	22	1562.8	30	56.01	5431	Thu Aug 14 2025 18:11:27 GMT+0000 (Coordinated Universal Time)	{"pacmmsynrlv03":{"w":214,"l":342,"t":0},"pacbhsswitch3":{"w":173,"l":55,"t":5},"pacbhgymleader3":{"w":219,"l":37,"t":3},"pacmmsynrlv1sp3":{"w":191,"l":324,"t":0},"pacmmbasernn3":{"w":120,"l":88,"t":0},"pacmmsmallrlg93":{"w":215,"l":257,"t":0},"pacbhkaizo3":{"w":210,"l":66,"t":1},"pacmmsmallil3":{"w":299,"l":110,"t":3},"pacmmsynrlv23":{"w":86,"l":368,"t":1},"pacbhg1boss3":{"w":223,"l":12,"t":0},"pacmmsilfa3":{"w":272,"l":239,"t":5},"pacbhpokeenv3":{"w":211,"l":53,"t":1},"pacmmsynrlv13":{"w":227,"l":267,"t":2},"pacmmabrag3":{"w":181,"l":279,"t":1}}
1462.4146537555523	PAC-MM-SmallIL-3	2066	3287	29	1466.1	30	46.75	5382	Thu Aug 14 2025 18:11:07 GMT+0000 (Coordinated Universal Time)	{"pacmmsmallrlg93":{"w":157,"l":346,"t":0},"pacmmsilfa3":{"w":153,"l":288,"t":3},"pacmmabrag3":{"w":139,"l":390,"t":3},"pacmmsynrlv23":{"w":58,"l":414,"t":2},"pacmmsynrlv1sp3":{"w":100,"l":339,"t":0},"pacmmlargerlg3":{"w":110,"l":299,"t":3},"pacmmbasernn3":{"w":118,"l":108,"t":1},"pacbhpokeenv3":{"w":190,"l":83,"t":3},"pacbhg1boss3":{"w":207,"l":56,"t":1},"pacbhkaizo3":{"w":180,"l":90,"t":0},"pacbhsswitch3":{"w":197,"l":68,"t":7},"pacbhgymleader3":{"w":173,"l":81,"t":3},"pacmmsynrlv13":{"w":127,"l":341,"t":2},"pacmmsynrlv03":{"w":123,"l":342,"t":0}}
1421.8907390686638	PAC-MM-BaseRNN-3	1551	1588	30	1476.4	30	47.73	3169	Thu Aug 14 2025 18:10:48 GMT+0000 (Coordinated Universal Time)	{"pacbhg1boss3":{"w":200,"l":49,"t":7},"pacbhgymleader3":{"w":187,"l":60,"t":6},"pacbhkaizo3":{"w":165,"l":99,"t":0},"pacmmlargerlg3":{"w":88,"l":120,"t":0},"pacmmsynrlv13":{"w":65,"l":140,"t":1},"pacmmsynrlv23":{"w":20,"l":189,"t":2},"pacbhpokeenv3":{"w":178,"l":71,"t":9},"pacmmsmallil3":{"w":108,"l":118,"t":1},"pacmmabrag3":{"w":61,"l":139,"t":0},"pacmmsilfa3":{"w":87,"l":120,"t":0},"pacbhsswitch3":{"w":176,"l":79,"t":2},"pacmmsynrlv03":{"w":53,"l":133,"t":0},"pacmmsmallrlg93":{"w":80,"l":106,"t":0},"pacmmsynrlv1sp3":{"w":62,"l":151,"t":1}}
1415.1276847711997	PAC-MM-SILFA-3	2724	2690	27	1492.3	30	49.26	5441	Thu Aug 14 2025 18:11:25 GMT+0000 (Coordinated Universal Time)	{"pacbhkaizo3":{"w":187,"l":80,"t":2},"pacmmsynrlv23":{"w":73,"l":392,"t":2},"pacbhpokeenv3":{"w":222,"l":53,"t":2},"pacmmsynrlv03":{"w":156,"l":292,"t":2},"pacbhgymleader3":{"w":208,"l":55,"t":4},"pacmmsmallil3":{"w":288,"l":153,"t":3},"pacmmsmallrlg93":{"w":218,"l":321,"t":1},"pacbhg1boss3":{"w":221,"l":30,"t":0},"pacbhsswitch3":{"w":213,"l":63,"t":3},"pacmmabrag3":{"w":177,"l":330,"t":1},"pacmmbasernn3":{"w":120,"l":87,"t":0},"pacmmlargerlg3":{"w":239,"l":272,"t":5},"pacmmsynrlv1sp3":{"w":160,"l":262,"t":0},"pacmmsynrlv13":{"w":195,"l":272,"t":1}}
